City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
182,Krasnovishersk,RU,60.4078,57.082,-3.06,99,47,3.53,scattered clouds,2022-02-06 03:37:24
183,Lufilufi,WS,-13.8745,-171.5986,80.38,78,95,13.29,light rain,2022-02-06 03:37:24
184,Jardim,BR,-21.4803,-56.1381,71.92,97,100,2.59,moderate rain,2022-02-06 03:37:24
185,Asyut,EG,27.181,31.1837,42.98,68,0,5.95,clear sky,2022-02-06 03:37:25
186,Hithadhoo,MV,-0.6,73.0833,81.99,73,6,9.24,clear sky,2022-02-06 03:37:25
187,Port Lincoln,AU,-34.7333,135.8667,78.98,45,6,19.19,clear sky,2022-02-06 03:37:26
188,Jumla,NP,29.2747,82.1838,45.54,24,0,2.71,clear sky,2022-02-06 03:37:26
189,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,63,0,4.61,clear sky,2022-02-06 03:37:27
190,Dikson,RU,73.5069,80.5464,-21.98,100,99,4.54,overcast clouds,2022-02-06 03:37:27
191,Kudahuvadhoo,MV,2.6708,72.8944,81.37,69,6,7.72,clear sky,2022-02-06 03:37:28
192,Ler,SS,8.3018,30.1418,68.14,18,18,8.68,few clouds,2022-02-06 03:37:28
193,Magaria,NE,12.9983,8.9099,57.11,23,0,9.89,clear sky,2022-02-06 03:37:29
194,Rawson,AR,-43.3002,-65.1023,59.77,57,75,11.05,broken clouds,2022-02-06 03:37:29
195,Pervomayskiy,RU,53.2485,40.2871,3.13,100,100,7.52,snow,2022-02-06 03:37:29
196,Tevaitoa,PF,-16.7833,-151.5,80.98,74,16,19.91,moderate rain,2022-02-06 03:37:30
197,Uhlirske Janovice,CZ,49.8802,15.0648,38.93,73,100,17.05,light rain,2022-02-06 03:37:30
198,Chicama,PE,-7.8447,-79.1469,66.74,80,58,4.94,broken clouds,2022-02-06 03:37:31
199,Iwaki,JP,37.05,140.8833,41.05,34,43,17.0,scattered clouds,2022-02-06 03:37:31
200,Carthage,TN,36.8611,10.3316,53.46,82,40,5.75,scattered clouds,2022-02-06 03:36:10
201,Auki,SB,-8.7676,160.7034,84.7,73,67,8.9,broken clouds,2022-02-06 03:37:32
202,Ancud,CL,-41.8697,-73.8203,55.42,88,85,2.89,overcast clouds,2022-02-06 03:37:33
203,Sao Joao Batista,BR,-27.2761,-48.8494,77.11,98,98,2.26,overcast clouds,2022-02-06 03:37:33
204,Port Blair,IN,11.6667,92.75,84.24,74,40,5.75,scattered clouds,2022-02-06 03:37:33
205,Kezmarok,SK,49.1357,20.4335,32.27,75,20,18.41,few clouds,2022-02-06 03:37:34
206,Shelburne,CA,44.0787,-80.2041,12.09,78,91,10.4,overcast clouds,2022-02-06 03:33:21
207,Marsh Harbour,BS,26.5412,-77.0636,73.04,69,42,10.02,scattered clouds,2022-02-06 03:35:32
208,Malinyi,TZ,-8.9333,36.1333,71.29,87,100,1.39,overcast clouds,2022-02-06 03:37:35
209,Massakory,TD,12.996,15.7293,61.43,19,0,13.27,clear sky,2022-02-06 03:37:35
210,Urumqi,CN,43.801,87.6005,-3.05,85,8,2.24,mist,2022-02-06 03:37:36
211,Berlevag,NO,70.8578,29.0864,24.33,83,57,26.19,broken clouds,2022-02-06 03:37:36
212,Thompson,CA,55.7435,-97.8558,-27.24,68,40,0.0,scattered clouds,2022-02-06 03:37:30
213,Cedar City,US,37.6775,-113.0619,29.17,43,0,8.05,clear sky,2022-02-06 03:33:50
214,Haines Junction,CA,60.7522,-137.5108,26.55,86,100,2.3,overcast clouds,2022-02-06 03:37:37
215,Villa Carlos Paz,AR,-31.4241,-64.4978,60.08,41,27,5.01,scattered clouds,2022-02-06 03:37:37
216,Norman Wells,CA,65.282,-126.8329,-21.96,69,20,3.44,few clouds,2022-02-06 03:35:41
217,Katangli,RU,51.7102,143.2326,9.3,81,100,18.68,overcast clouds,2022-02-06 03:37:38
218,Tazovskiy,RU,67.4667,78.7,-20.76,100,78,5.48,broken clouds,2022-02-06 03:37:38
219,Kaitangata,NZ,-46.2817,169.8464,54.93,60,34,7.54,scattered clouds,2022-02-06 03:37:39
220,Buraydah,SA,26.326,43.975,43.25,55,0,5.79,clear sky,2022-02-06 03:37:39
221,Kirakira,SB,-10.4544,161.9205,85.12,74,94,8.12,overcast clouds,2022-02-06 03:37:40
222,Quelimane,MZ,-17.8786,36.8883,75.15,94,75,8.05,broken clouds,2022-02-06 03:37:40
223,Dunedin,NZ,-45.8742,170.5036,57.79,61,76,8.01,broken clouds,2022-02-06 03:34:44
224,Qaqortoq,GL,60.7167,-46.0333,1.9,71,100,4.99,overcast clouds,2022-02-06 03:37:41
225,Khatanga,RU,71.9667,102.5,-21.26,98,99,6.67,overcast clouds,2022-02-06 03:37:41
226,Faya,SA,18.3851,42.4509,48.72,74,0,3.44,clear sky,2022-02-06 03:37:30
227,Urengoy,RU,65.9667,78.3667,-22.95,100,97,4.47,overcast clouds,2022-02-06 03:38:42
228,Cherskiy,RU,68.75,161.3,-29.67,99,24,1.95,few clouds,2022-02-06 03:38:42
229,Santa Elena,EC,-2.2333,-80.85,75.52,80,95,8.1,overcast clouds,2022-02-06 03:38:43
230,Taperoa,BR,-7.2075,-36.8267,71.71,77,89,8.05,overcast clouds,2022-02-06 03:38:43
231,Ciudad Bolivar,VE,8.1222,-63.5497,79.5,67,85,13.82,overcast clouds,2022-02-06 03:38:44
232,Bukachacha,RU,52.9833,116.9167,9.66,67,6,2.33,clear sky,2022-02-06 03:38:44
233,Stepnyak,KZ,52.8339,70.7803,3.61,71,61,6.62,broken clouds,2022-02-06 03:38:45
234,Warangal,IN,18.0,79.5833,73.15,22,39,4.36,scattered clouds,2022-02-06 03:38:45
235,Rio Gallegos,AR,-51.6226,-69.2181,57.25,72,0,3.44,clear sky,2022-02-06 03:38:46
236,Jalu,LY,29.0331,21.5482,52.97,52,0,7.45,clear sky,2022-02-06 03:38:46
237,Monrovia,LR,6.3005,-10.7969,78.13,84,10,3.31,light rain,2022-02-06 03:38:47
238,Melur,IN,10.05,78.3333,82.22,66,72,8.55,broken clouds,2022-02-06 03:38:47
239,Caravelas,BR,-17.7125,-39.2481,74.55,92,13,4.12,few clouds,2022-02-06 03:38:48
240,Roald,NO,62.5833,6.1333,37.99,87,96,28.77,snow,2022-02-06 03:38:49
241,Homer,US,59.6425,-151.5483,35.49,80,100,4.61,overcast clouds,2022-02-06 03:38:49
242,Indi,IN,17.1667,75.9667,74.98,27,29,12.19,scattered clouds,2022-02-06 03:38:49
243,Riesa,DE,51.3,13.3,43.12,85,100,24.34,light rain,2022-02-06 03:38:50
244,Najran,SA,17.4924,44.1277,56.05,58,0,4.85,clear sky,2022-02-06 03:38:50
245,East London,ZA,-33.0153,27.9116,67.14,94,0,5.75,clear sky,2022-02-06 03:38:51
246,Acapulco,MX,16.8634,-99.8901,80.42,78,0,10.36,clear sky,2022-02-06 03:38:03
247,Beihai,CN,21.4833,109.1,64.13,71,100,17.52,overcast clouds,2022-02-06 03:38:52
248,Inhambane,MZ,-23.865,35.3833,76.6,84,59,16.02,light rain,2022-02-06 03:38:52
249,Canutama,BR,-6.5339,-64.3831,71.01,95,100,2.08,overcast clouds,2022-02-06 03:38:53
250,Mandalgovi,MN,45.7625,106.2708,12.07,47,3,7.74,clear sky,2022-02-06 03:38:53
251,Oistins,BB,13.0667,-59.5333,77.09,73,40,11.5,scattered clouds,2022-02-06 03:38:54
252,Kondoa,TZ,-4.9,35.7833,60.46,89,100,1.54,overcast clouds,2022-02-06 03:38:54
253,Manakara,MG,-22.1333,48.0167,79.45,88,100,29.95,moderate rain,2022-02-06 03:38:55
254,Abonnema,NG,4.7084,6.7931,76.03,88,3,2.46,clear sky,2022-02-06 03:38:55
255,Isangel,VU,-19.55,169.2667,87.91,84,75,13.8,broken clouds,2022-02-06 03:34:09
256,Playa Vicente,MX,17.8333,-95.8167,54.43,81,37,4.65,scattered clouds,2022-02-06 03:38:56
257,Pathein,MM,16.7833,94.7333,85.08,42,67,10.22,broken clouds,2022-02-06 03:38:57
258,Black River,JM,18.0264,-77.8487,75.2,70,6,5.77,clear sky,2022-02-06 03:38:57
259,Ulladulla,AU,-35.35,150.4667,71.87,60,47,13.6,scattered clouds,2022-02-06 03:38:58
260,Villa Bruzual,VE,9.3328,-69.1208,77.47,61,96,7.43,overcast clouds,2022-02-06 03:38:58
261,Emerald,AU,-23.5333,148.1667,87.94,30,40,12.66,scattered clouds,2022-02-06 03:35:36
