City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
189,Sampit,ID,82.51,-2.5333,112.95,Aquarius Boutique Hotel Sampit
192,Trairi,BR,77.4,-3.2778,-39.2689,Zorah Beach Hotel
194,Pangai,TO,82.06,-19.8,-174.35,Ha'apai Beach Resort
199,Lufilufi,WS,85.78,-13.8745,-171.5986,Leuaina Beach Resort and Spa
200,Puerto Leguizamo,CO,75.0,-0.1934,-74.7819,la casona de juancho
206,Tutoia,BR,82.38,-2.7619,-42.2744,Pousada Guará's
207,Teahupoo,PF,82.36,-17.8333,-149.2667,Vanira Lodge
209,Vila Velha,BR,76.95,-20.3297,-40.2925,Quality Suites Vila Velha
211,Sola,VU,81.46,-13.8833,167.55,Leumerus Bungalows
212,Celestun,MX,79.56,20.8667,-90.4,Hotel Playa Maya Resorts
213,Canto Do Buriti,BR,78.42,-8.11,-42.9444,Novo Hotel
227,Hilo,US,76.24,19.7297,-155.09,Hilo Hawaiian Hotel
230,Coahuayana,MX,76.48,18.7333,-103.6833,El rranchito michuacan de ocampos
231,Ternate,ID,82.47,0.8,127.4,Sahid Bela Ternate Hotel
235,Souillac,MU,80.37,-20.5167,57.5167,Shanti Maurice Resort & Spa
248,Kalmunai,LK,77.77,7.4167,81.8167,VS Villa
253,Richards Bay,ZA,75.7,-28.783,32.0377,Imvubu Lodge
255,Flinders,AU,77.18,-34.5833,150.8552,Shellharbour Resort & Conference Centre
256,Touros,BR,79.7,-5.1989,-35.4608,Siri Paraíso Hotel
258,Saint-Georges,GD,78.48,12.0564,-61.7485,Radisson Grenada Beach Resort
259,Fort Wellington,GY,76.89,6.4,-57.6,TE'AMO Entertainment Park
266,Edd,ER,79.3,13.9297,41.6925,
268,Gouyave,GD,77.77,12.1646,-61.7296,Mango Bay Cottages
272,Avarua,CK,82.45,-21.2078,-159.775,Little Polynesian Resort
279,Mersing,MY,84.11,2.4312,103.8405,Timotel Hotel
284,Alyangula,AU,87.67,-13.8483,136.4192,Groote Eylandt Lodge
285,Moju,BR,77.07,-1.8839,-48.7689,HOTEL MARTINS
287,Pak Phanang,TH,82.42,8.3511,100.202,Green Park Inn Hotel
290,Samarinda,ID,88.07,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
294,Kalianget,ID,82.47,-7.05,113.9333,Family Nur Hotel
299,Kavieng,PG,79.59,-2.5744,150.7967,Nusa Island Retreat
306,Bengkulu,ID,83.7,-3.8004,102.2655,Grage Hotel Bengkulu
309,Mount Isa,AU,83.97,-20.7333,139.5,ibis Styles Mt Isa Verona
313,Fare,PF,81.18,-16.7,-151.0167,Maitai Lapita Village Huahine
314,Cam Ranh,VN,82.36,11.9214,109.1591,OYO 598 Peony Hotel
316,Arraial Do Cabo,BR,75.33,-22.9661,-42.0278,Pousada Porto Praia
323,Lethem,GY,79.36,3.3803,-59.7968,Savannah Inn
324,Mahebourg,MU,79.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
326,Karratha,AU,89.98,-20.7377,116.8463,ibis Styles Karratha
332,Makakilo City,US,79.12,21.3469,-158.0858,Marriott's Ko Olina Beach Club
334,Santa Cruz,BO,76.46,-17.8,-63.1667,Aviador Hotel Boutique
335,La Montanita,CO,76.91,1.4766,-75.4398,Casa Materna La Montañita
338,Faanui,PF,81.3,-16.4833,-151.75,InterContinental Bora Bora Resort Thalasso Spa
339,Purbalingga,ID,89.69,-7.3881,109.3639,Hotel Kencana
345,Passo De Camaragibe,BR,78.35,-9.2368,-35.4901,Hotel Fórmula 1
