City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
486,San Jeronimo,PE,50.58,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
487,Bemidji,US,12.9,overcast clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
489,Gelnica,SK,33.39,overcast clouds,48.8558,20.9371,PaedDr. Stanislav Nemčík
491,Traiguen,CL,52.95,clear sky,-38.25,-72.6833,Hospedaje Sonnia
495,Korla,CN,26.28,overcast clouds,41.7597,86.1469,Gulisitan Hotel
496,Mainburg,DE,37.24,overcast clouds,48.65,11.7833,Heimat Mainburg | Hotel • Café • Weinbar
497,Saint-Denis,FR,47.17,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
498,Sitka,US,42.69,moderate rain,57.0531,-135.33,Westmark Sitka
503,Laguna,US,56.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
505,Viseu,PT,44.87,clear sky,40.661,-7.9097,Montebelo Viseu Congress Hotel
506,Stokmarknes,NO,35.49,light rain,68.5646,14.9108,Vesterålen Kysthotell
512,Marquette,US,15.37,snow,46.5333,-87.6335,Al Quaal Lodge
514,Salinas,US,56.35,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
516,Sarahan,IN,41.02,overcast clouds,31.5167,77.8,OYO 39328 Bushahr Heights
525,Toronto,CA,18.79,clear sky,43.7001,-79.4163,The Yorkville Royal Sonesta Hotel
526,Kirkenaer,NO,36.88,scattered clouds,60.4564,12.0582,Skaslien Gjestgiveri
527,Havoysund,NO,31.08,scattered clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
529,Khani,GE,22.57,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
531,Yeniseysk,RU,19.0,overcast clouds,58.4497,92.1703,"""Domino"""
533,Coffeyville,US,36.05,clear sky,37.0373,-95.6164,Regal Inn
534,Wilmington,US,38.86,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
544,Abilene,US,39.69,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
547,Vorokhta,UA,19.47,overcast clouds,48.2869,24.5719,Oksamyt
549,Maralal,KE,59.56,overcast clouds,1.0968,36.698,Ngari Hill Ecolodge
551,Honningsvag,NO,31.75,broken clouds,70.9821,25.9704,Nordkapp Vandrerhjem
552,Fallon,US,36.43,clear sky,39.4735,-118.7774,Best Western Fallon Inn & Suites
555,Pacific Grove,US,56.88,clear sky,36.6177,-121.9166,Lovers Point Inn
556,Lasa,IT,35.06,clear sky,46.6166,10.7002,Pension Feldgärtenhof
558,Goderich,CA,16.92,overcast clouds,43.7501,-81.7165,Harmony Inn
560,Gulfport,US,38.98,clear sky,30.3674,-89.0928,Courtyard by Marriott Gulfport Beachfront
564,Tawang,IN,37.26,clear sky,27.5833,91.8667,Hotel Mount View
572,Atasu,KZ,15.64,clear sky,48.6814,71.6433,Dostyk
573,Hof,DE,38.44,overcast clouds,50.3167,11.9167,Hotel Burghof
574,Bokovskaya,RU,11.41,broken clouds,49.229,41.8306,Gostinitsa Stanitsa
576,Moussoro,TD,58.42,clear sky,13.6408,16.4901,Hôtel Salama
579,Kozhevnikovo,RU,13.24,overcast clouds,56.2589,83.9714,"Gostinitsa ""Ot zakata do rassveta"""
580,Akhtanizovskaya,RU,43.27,overcast clouds,45.32,37.1,Svetlyy
584,Dejen,ET,52.93,broken clouds,10.1667,38.1333,MAFLAB International Hotel
585,Oga,IT,27.68,few clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
588,Trebisov,SK,31.33,overcast clouds,48.6286,21.7195,Hotel Zemplín
589,Harwich,GB,50.36,overcast clouds,51.9419,1.2844,Premier Inn Harwich hotel
592,Beyneu,KZ,28.9,overcast clouds,45.3167,55.2,NUR
594,Comonfort,MX,57.29,clear sky,20.7167,-100.7667,El Kiosco Verde
595,San Patricio,US,44.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
602,Ordynskoye,RU,10.24,overcast clouds,54.3656,81.8994,Lunevka
604,Farkhor,TJ,50.05,overcast clouds,37.4922,69.4036,Khonai Abdulkhayrov
605,Aksu,CN,24.96,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
606,Torgau,DE,44.15,light rain,51.5667,13.0,Hotel-Pension zum Markt
610,Marrakesh,MA,59.07,broken clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
615,Calama,CL,50.49,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
618,Suining,CN,43.74,overcast clouds,30.508,105.5733,IU Hotel Suining Guangfu Building Walking Street
621,Aljezur,PT,48.33,clear sky,37.3191,-8.8033,Amazigh Hostel
622,El Dorado,US,49.06,clear sky,38.7666,-120.5177,South Fork Group Campground
623,Black Forest,US,30.09,clear sky,39.0131,-104.7008,Datt Properties
624,South Holland,NL,49.08,light intensity drizzle,52.0,4.6667,Van der Valk Hotel Rotterdam - Nieuwerkerk
626,Susa,TN,52.32,clear sky,35.8254,10.637,Riadh Palms Resort & Spa Hotel / نزل رياض النخيل
627,Lieksa,FI,21.15,overcast clouds,63.3167,30.0167,Kaatrahovi
628,Xining,CN,15.55,overcast clouds,36.6167,101.7667,Super Leisure Hotel
632,Lodingen,NO,35.74,light rain,68.414,15.9951,Arctic Garden
635,Larsnes,NO,36.68,overcast clouds,62.2028,5.5773,Liset Feriesenter AS
644,Beaumont,US,37.44,clear sky,30.0861,-94.1019,Super 8 by Wyndham Beaumont
648,Bar Harbor,US,10.02,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
649,Arys,KZ,50.22,light rain,42.4252,68.795,Gostinitsa
653,Elk Grove,US,55.24,clear sky,38.4088,-121.3716,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
654,Partenit,UA,40.21,overcast clouds,44.578,34.3446,Приватотель
657,Dimitrovgrad,RU,26.65,overcast clouds,54.2139,49.6184,Skazka
658,Iasi,RO,34.14,clear sky,47.1667,27.6,Hotel Moldova
660,Wheeling,US,17.85,clear sky,42.1392,-87.929,The Westin Chicago North Shore
666,Mason City,US,26.69,clear sky,43.1536,-93.201,Days Inn by Wyndham Mason City
669,Manzil Salim,TN,41.0,overcast clouds,35.8567,8.4765,mohamed ben khlil omri
675,Bridlington,GB,45.14,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
677,Hirado,JP,42.15,broken clouds,33.3597,129.5531,Samson Hotel
678,Zirovnice,CZ,36.82,broken clouds,49.2532,15.1882,Hotel Artaban
683,Petropavlovsk-Kamchatskiy,RU,27.19,light shower snow,53.0452,158.6483,The Hotel Petropavlovsky
684,Peci,BA,31.21,scattered clouds,44.6272,16.7861,Planinarski dom Mulež
688,Kletnya,RU,30.36,light snow,53.3897,33.2171,Gostinitsa-Otel' Kletnya
695,Coxcatlan,MX,50.2,few clouds,18.2667,-97.15,Hotel Rojo Canela
698,Coihaique,CL,55.35,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
