City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Baie-Saint-Paul,CA,2022-02-03 02:39:03,47.4411,-70.4986,38.25,88,100,8.99
101,Leh,IN,2022-02-03 02:39:04,34.1667,77.5833,9.82,94,100,2.28
102,North Bend,US,2022-02-03 02:36:05,43.4065,-124.2243,47.95,94,40,0.0
103,Butembo,CD,2022-02-03 02:39:05,0.15,29.2833,58.6,80,64,2.17
104,Acapulco,MX,2022-02-03 02:39:05,16.8634,-99.8901,78.62,69,0,8.05
105,Barra Patuca,HN,2022-02-03 02:39:06,15.8,-84.2833,76.51,80,0,10.65
106,Adrar,MR,2022-02-03 02:39:06,20.5022,-10.0711,63.63,18,0,10.31
107,Araceli,PH,2022-02-03 02:39:06,10.5529,119.9913,80.22,81,67,17.05
108,Lavrentiya,RU,2022-02-03 02:39:07,65.5833,-171.0,-0.09,66,1,20.8
109,Lakes Entrance,AU,2022-02-03 02:39:08,-37.8811,147.981,66.16,64,75,19.24
110,Hamilton,US,2022-02-03 02:35:05,39.1834,-84.5333,46.78,96,100,1.99
111,Mwene-Ditu,CD,2022-02-03 02:39:08,-7.0,23.45,65.48,99,100,3.36
112,Mayo,US,2022-02-03 02:39:09,38.8876,-76.5119,45.09,88,100,0.0
113,Quimper,FR,2022-02-03 02:39:09,48.0,-4.1,48.6,100,100,3.44
114,Ballachulish,GB,2022-02-03 02:39:10,56.6774,-5.1308,48.42,96,100,5.99
115,Hasaki,JP,2022-02-03 02:39:10,35.7333,140.8333,52.29,39,100,7.27
116,San Jeronimo,PE,2022-02-03 02:39:11,-11.9472,-75.2829,51.89,82,90,2.26
117,Maningrida,AU,2022-02-03 02:39:11,-12.0667,134.2667,85.5,68,100,13.65
118,Harrison,US,2022-02-03 02:39:12,30.4091,-89.0436,64.47,98,100,4.61
119,Esperance,AU,2022-02-03 02:39:12,-33.8667,121.9,75.04,48,6,14.05
120,Steubenville,US,2022-02-03 02:39:13,40.3698,-80.634,42.69,86,100,8.23
121,Tiznit,MA,2022-02-03 02:39:13,29.5833,-9.5,63.18,29,1,8.63
122,Mpika,ZM,2022-02-03 02:39:14,-11.8343,31.4529,61.29,97,100,1.14
123,Meulaboh,ID,2022-02-03 02:39:14,4.1363,96.1285,82.72,70,31,3.33
124,Camacari,BR,2022-02-03 02:39:15,-12.6975,-38.3242,82.17,88,9,3.89
125,Arman,RU,2022-02-03 02:39:15,59.7,150.1667,14.43,79,100,11.14
126,Sheridan,US,2022-02-03 02:39:16,44.8333,-106.9173,3.65,64,0,1.99
127,Pleasanton,US,2022-02-03 02:39:16,37.6624,-121.8747,57.81,38,0,1.86
128,Thompson,CA,2022-02-03 02:39:17,55.7435,-97.8558,-14.64,76,20,13.8
129,Jaranwala,PK,2022-02-03 02:39:17,31.3333,73.4333,53.26,72,98,8.39
130,Eenhana,NA,2022-02-03 02:39:18,-17.4667,16.3333,66.43,55,35,5.93
131,Sao Filipe,CV,2022-02-03 02:39:18,14.8961,-24.4956,73.54,75,0,11.36
132,Torbay,CA,2022-02-03 02:39:19,47.6666,-52.7314,23.29,92,20,10.36
133,Te Anau,NZ,2022-02-03 02:39:19,-45.4167,167.7167,59.38,82,100,5.12
134,Cieszyn,PL,2022-02-03 02:39:20,49.7513,18.6321,35.08,93,100,7.4
135,Alofi,NU,2022-02-03 02:40:20,-19.0595,-169.9187,82.29,74,40,17.27
136,Camocim,BR,2022-02-03 02:40:20,-2.9022,-40.8411,77.54,84,89,9.26
137,Bredasdorp,ZA,2022-02-03 02:40:18,-34.5322,20.0403,60.28,81,0,6.2
138,Ponta Do Sol,PT,2022-02-03 02:40:21,32.6667,-17.1,67.01,78,99,9.53
139,Naze,JP,2022-02-03 02:36:12,28.3667,129.4833,54.52,85,100,19.62
140,Ambovombe,MG,2022-02-03 02:40:22,-25.1667,46.0833,70.32,81,0,10.96
141,Port Blair,IN,2022-02-03 02:40:22,11.6667,92.75,78.84,78,40,4.61
142,Klaksvik,FO,2022-02-03 02:40:23,62.2266,-6.589,40.12,97,100,9.26
143,Kibala,TD,2022-02-03 02:40:23,9.1104,18.3463,67.95,32,0,0.0
144,Akyab,MM,2022-02-03 02:40:24,20.15,92.9,69.35,50,3,6.64
145,Henties Bay,NA,2022-02-03 02:40:24,-22.116,14.2845,67.86,85,1,5.41
146,Tynda,RU,2022-02-03 02:36:57,55.1667,124.7167,-7.64,74,39,6.53
147,Yantal,RU,2022-02-03 02:40:25,56.8471,105.2542,1.4,96,86,1.43
148,Ilulissat,GL,2022-02-03 02:40:25,69.2167,-51.1,1.42,46,20,28.77
149,Port Augusta,AU,2022-02-03 02:40:26,-32.5,137.7667,80.71,37,0,18.72
150,La Ronge,CA,2022-02-03 02:40:26,55.1001,-105.2842,-21.75,69,0,3.44
